,X,article.id,Keep,timestamp,coder,journal,year,jpsp.section,first.author,affiliation,specialization,citation,type,citations.number,study.number,sample.size,excluded.participants,expcor,design,conditions.number,predictors.number,dv.number,which.statistical.test,copied.statistic,df.numerator,df.denominator,test.statistic,p.exact,p.exact.value,drop.column,null.predicted,sigtests.number.reported,sigtests.number.significant,total.num.studies,effect.size.reported,effect.size,footnotes.number,additional.analyses,covariates.number,coding.difficulty,comments
252,252,95,1,6/24/2015 16:32,Coder9,Psych Science,2004,,Pansky,"University of Haifa, Haifa, Israel",Cognitive,"Pansky, A., & Koriat, A. (2004). The basic-level convergence effect in memory distortions. Psychological Science, 15(1), 52-59.","Original Research (i.e., any study with data that is NOT a meta-analysis)",33,2,90,99!!,"Experimental (i.e., all IVs were manipulated)",Within,2,1,2,t-test (t)," t(58) = 17.21, p < .001",,58,17.21,No,,,No,23,22,2,0,,1,No,0,Slightly Easy,"Omitted 4% of responses, but not entire participants. "
1758,1758,423,1,8/16/2015 12:24,Coder9,JESP,2013,,Pashler,"University of California, San Diego",Cognitive,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed?. Journal of Experimental Social Psychology, 49(6), 959-964.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,1,150,1,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,t-test (t),"t(147) = 1.12, p = .26, d = 0.184",,147,1.12,Yes,0.26,,Yes,1,0,3,1,d = 0.184,0,No,0,Very Easy,
1759,1759,423,1,8/16/2015 12:29,Coder9,JESP,2013,,Pashler,"University of California, San Diego",Cognitive,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed?. Journal of Experimental Social Psychology, 49(6), 959-964.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,2,152,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,t-test (t),"t(150) = −.83, p = .406, d = −0.136",,150,-0.83,Yes,0.406,,Yes,2,0,3,1,d = −0.136,0,No,0,Very Easy,
1760,1760,423,1,8/16/2015 12:32,Coder9,JESP,2013,,Pashler,"University of California, San Diego",Cognitive,"Pashler, H., Rohrer, D., & Harris, C. R. (2013). Can the goal of honesty be primed?. Journal of Experimental Social Psychology, 49(6), 959-964.","Original Research (i.e., any study with data that is NOT a meta-analysis)",11,3,151,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,t-test (t),"t(149) = −.882, p = .380.",,149,-0.882,Yes,0.38,,Yes,2,0,3,0,NA,0,No,0,Very Easy,
1761,1761,425,1,8/16/2015 12:45,Coder9,Psych Science,2004,,Pelphrey,"Duke University Medical Center, The University of North Carolina at Chapel Hill",Neuroscience,"Pelphrey, K. A., Viola, R. J., & McCarthy, G. (2004). When strangers pass processing of mutual and averted social gaze in the superior temporal sulcus. Psychological science, 15(9), 598-603.","Original Research (i.e., any study with data that is NOT a meta-analysis)",268,1,14,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,5,t-test (t),"t(7) = 3.43, p < .05, Cohen’s d = 1.06",,7,3.43,No,,,No,5,3,1,1,Cohen’s d = 1.06,0,No,0,Moderately Difficult,Primary analysis N = 8. fMRI study. 
1360,1360,282,1,8/10/2015 14:35,Coder9,JPSP,2003,Personality Processes and Individual Differences,Reed,University of Pennsylvania,Social / Personality,"Reed II, A., & Aquino, K. F. (2003). Moral identity and the expanding circle of moral regard toward out-groups. Journal of personality and social psychology, 84(6), 1270.","Original Research (i.e., any study with data that is NOT a meta-analysis)",303,1,192,7,"Correlational (i.e., IVs were measured and not manipulated)",Between,1,2,1,Multiple Regression (t -- for individual predictor),"Standardized Beta = .30, p < .01",,,,No,,,No,11,6,4,0,,0,No,2,Moderately Easy,The primary analysis had N =137. No t test was reported for the B of the primary analysis. 
1364,1364,282,1,8/10/2015 14:48,Coder9,JPSP,2003,Personality Processes and Individual Differences,Reed,University of Pennsylvania,Social / Personality,"Reed II, A., & Aquino, K. F. (2003). Moral identity and the expanding circle of moral regard toward out-groups. Journal of personality and social psychology, 84(6), 1270.","Original Research (i.e., any study with data that is NOT a meta-analysis)",303,2,79,4,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,5,3,Multiple Regression (t -- for individual predictor),"B = 1.354, SE = 0.515, t(67) = 2.62, p < .05",,67,2.62,No,,,No,9,1,4,0,,0,No,2,Moderately Easy,
1367,1367,282,1,8/10/2015 14:58,Coder9,JPSP,2003,Personality Processes and Individual Differences,Reed,University of Pennsylvania,Social / Personality,"Reed II, A., & Aquino, K. F. (2003). Moral identity and the expanding circle of moral regard toward out-groups. Journal of personality and social psychology, 84(6), 1270.","Original Research (i.e., any study with data that is NOT a meta-analysis)",303,3,76,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,4,2,Multiple Regression (t -- for individual predictor),"B = 0.60, SE = 0.17, t(68) = 3.49, p < .001",,68,3.49,No,,,No,14,4,4,0,,0,No,3,Moderately Easy,
1376,1376,282,1,8/10/2015 15:17,Coder9,JPSP,2003,Personality Processes and Individual Differences,Reed,University of Pennsylvania,Social / Personality,"Reed II, A., & Aquino, K. F. (2003). Moral identity and the expanding circle of moral regard toward out-groups. Journal of personality and social psychology, 84(6), 1270.","Original Research (i.e., any study with data that is NOT a meta-analysis)",303,4,85,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,3,2,Multiple Regression (t -- for individual predictor),"F(1, 73) = 3.87, p < .05, Standardized Beta = -.37, p < .05",1,73,3.87,No,,,No,17,8,4,0,,0,No,2,Moderately Easy,
1772,1772,462,1,8/16/2015 18:15,Coder9,Psych Science,2013,,Rommers,"Psychology of Language Department, Max Planck Institute for Psycholinguistics",Neuroscience,"Rommers, J., Meyer, A. S., & Huettig, F. (2013). Object shape and orientation do not routinely influence performance during language processing. Psychological science, 0956797613490746.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,1,52,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,ANOVA (F)," F(1, 48) = 0.999, p = .323,  η p 2  = .020.",1,48,0.999,Yes,0.323,,No,9,2,4,1,partial eta-squared = .02,0,Yes,0,Slightly Difficult,Additional Bayesian analyses were reported.
1773,1773,462,1,8/16/2015 18:21,Coder9,Psych Science,2013,,Rommers,"Psychology of Language Department, Max Planck Institute for Psycholinguistics",Neuroscience,"Rommers, J., Meyer, A. S., & Huettig, F. (2013). Object shape and orientation do not routinely influence performance during language processing. Psychological science, 0956797613490746.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,1,44,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,ANOVA (F),"F(1, 40) = 0.627, p = .433, η p 2  = .015",1,40,0.627,Yes,0.433,,No,10,7,4,1,partial eta-squared =  .015,0,No,0,Neither Difficult nor Easy,Additional Bayesian analyses were reported 
1774,1774,462,1,8/16/2015 18:26,Coder9,Psych Science,2013,,Rommers,"Psychology of Language Department, Max Planck Institute for Psycholinguistics",Neuroscience,"Rommers, J., Meyer, A. S., & Huettig, F. (2013). Object shape and orientation do not routinely influence performance during language processing. Psychological science, 0956797613490746.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,3,88,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,ANOVA (F),"F(1, 84) = 1.632,   p = .205, η p 2  = .019",1,84,1.632,Yes,0.205,,No,10,6,4,1,partial eta squared = .019,1,No,0,Neither Difficult nor Easy,Additional Bayesian analyses were reported 
1775,1775,462,1,8/16/2015 18:30,Coder9,Psych Science,2013,,Rommers,"Psychology of Language Department, Max Planck Institute for Psycholinguistics",Neuroscience,"Rommers, J., Meyer, A. S., & Huettig, F. (2013). Object shape and orientation do not routinely influence performance during language processing. Psychological science, 0956797613490746.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,4,40,0,"Experimental (i.e., all IVs were manipulated)",Within,1,1,2,ANOVA (F),"F(1, 36) = 247.044, p < .001, η p 2  = .873",1,36,247.044,No,,,No,3,3,4,1,partial eta squared = .873,0,No,0,Slightly Easy,
195,195,80,1,6/20/2015 14:40,Coder9,PSPB,2003,,Roney,University of Chicago,Developmental & Evolutionary,"Roney, J. R. (2003). Effects of visual exposure to the opposite sex: Cognitive aspects of mate attraction in human males. Personality and Social Psychology Bulletin, 29(3), 393-404.","Original Research (i.e., any study with data that is NOT a meta-analysis)",82,1,159,17,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,2,44,ANOVA (F),"F(1, 131) = 6.01, p < .01, η 2 = .04",1,131,6.01,No,,,No,99,5,2,1,eta-squared = .04,2,No,0,Moderately Difficult,
196,196,80,1,6/20/2015 15:00,Coder9,PSPB,2003,,Roney,University of Chicago,Developmental & Evolutionary,"Roney, J. R. (2003). Effects of visual exposure to the opposite sex: Cognitive aspects of mate attraction in human males. Personality and Social Psychology Bulletin, 29(3), 393-404.","Original Research (i.e., any study with data that is NOT a meta-analysis)",82,2,26,4,"Experimental (i.e., all IVs were manipulated)",Between,2,1,21,t-test (t),"t(20) = 3.93, p < .001, d = 1.76",,20,3.93,No,,,No,32,10,2,1,Cohen's d = 1.76,2,No,0,Neither Difficult nor Easy,
526,526,178,1,7/17/2015 16:48,Coder9,JESP,2014,,Sassenberg,University of Tübingen,Social / Personality,"Sassenberg, K., Landkammer, F., & Jacoby, J. (2014). The influence of regulatory focus and group vs. individual goals on the evaluation bias in the context of group decision making. Journal of Experimental Social Psychology, 54, 153-164.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,1,53,0,"Experimental (i.e., all IVs were manipulated)",Between,3,1,1,ANOVA (F)," F (2, 49) = 3.98, p = .025, η 2 part. = .14 ",2,49,3.98,Yes,0.025,,No,4,2,4,1,partial eta-squared = .14,1,No,1,Very Easy,
528,528,178,1,7/17/2015 16:52,Coder9,JESP,2014,,Sassenberg,University of Tübingen,Social / Personality,"Sassenberg, K., Landkammer, F., & Jacoby, J. (2014). The influence of regulatory focus and group vs. individual goals on the evaluation bias in the context of group decision making. Journal of Experimental Social Psychology, 54, 153-164.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,2,99,0,"Experimental (i.e., all IVs were manipulated)",Between,4,2,2,ANOVA (F)," F (1, 95) = 4.31, p = .041, η 2 part. = .04 ",1,95,4.31,Yes,0.041,,No,7,2,4,1,partial eta-squared = .04,0,No,0,Very Easy,
530,530,178,1,7/17/2015 16:58,Coder9,JESP,2014,,Sassenberg,University of Tübingen,Social / Personality,"Sassenberg, K., Landkammer, F., & Jacoby, J. (2014). The influence of regulatory focus and group vs. individual goals on the evaluation bias in the context of group decision making. Journal of Experimental Social Psychology, 54, 153-164.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,3,90,0,"Experimental (i.e., all IVs were manipulated)",Between,4,2,4,ANOVA (F),"F (1, 86) = 4.09, p = .046, η 2 part. = .05",1,86,4.09,Yes,0.046,,No,14,8,4,1,partial eta-squared = .05,0,No,0,Very Easy,
531,531,178,1,7/17/2015 17:02,Coder9,JESP,2014,,Sassenberg,University of Tübingen,Social / Personality,"Sassenberg, K., Landkammer, F., & Jacoby, J. (2014). The influence of regulatory focus and group vs. individual goals on the evaluation bias in the context of group decision making. Journal of Experimental Social Psychology, 54, 153-164.","Original Research (i.e., any study with data that is NOT a meta-analysis)",1,4,56,7,"Experimental (i.e., all IVs were manipulated)",Between,4,2,4,ANOVA (F)," F (1, 45) = 4.17, p = .047, η 2 part. = .09",1,45,4.17,Yes,0.047,,No,16,7,4,1,partial eta-squared = .09,0,No,0,Very Easy,
519,519,166,1,7/17/2015 15:56,Coder9,Psych Science,2014,, Schotter,"University of California, San Diego",Cognitive,"Schotter, E. R., Tran, R., & Rayner, K. (2014). Don’t Believe What You Read (Only Once) Comprehension Is Supported by Regressions During Reading. Psychological science, 0956797614531148.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,1,40,0,"Experimental (i.e., all IVs were manipulated)",Within,na,na,4,Linerar Mixed Effect Regression Model,,,,,NA,,,,19,9,1,0,,0,No,,Neither Difficult nor Easy,
429,429,128,1,7/15/2015 13:57,Coder9,PSPB,2014,, Sevincer,University of Hamburg,Social / Personality,"Sevincer, A. T., Busatta, P. D., & Oettingen, G. (2013). Mental contrasting and transfer of energization. Personality and Social Psychology Bulletin, 0146167213507088.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,168,13,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,2,ANOVA (F)," F(1, 151) = 4.91,  p = .03, η 2  = .03",1,151,4.91,Yes,0.03,,No,14,10,2,1,eta-squared = .03,1,No,0,Slightly Difficult,
433,433,128,1,7/15/2015 14:13,Coder9,PSPB,2014,,Sevincer,University of Hamburg,Social / Personality,"Sevincer, A. T., Busatta, P. D., & Oettingen, G. (2013). Mental contrasting and transfer of energization. Personality and Social Psychology Bulletin, 0146167213507088.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,2,114,5,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Mixed,2,2,3,ANOVA (F),"F(1, 105) = 5.42, p = .02, η 2  = .05",1,105,5.42,Yes,0.02,,No,16,11,2,1,eta-squared = .05,1,No,0,Slightly Difficult,
1798,1798,614,1,8/19/2015 8:12,Coder9,Psych Science,2014,,Sevincer,University of Hamburg,Social / Personality,"Sevincer, A. T., Wagner, G., Kalvelage, J., & Oettingen, G. (2014). Positive thinking about the future in newspaper reports and presidential addresses predicts economic downturn. Psychological science, 0956797613518350.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,99,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Multiple Regression (F is reported instead of t),"β = −0.26, F(1, 96) = 7.06,  p = .009",,96,7.06,Yes,9,,No,4,1,2,0,NA,0,No,0,Very Easy,N is news paper articles
1799,1799,614,1,8/19/2015 8:15,Coder9,Psych Science,2014,,Sevincer,University of Hamburg,Social / Personality,"Sevincer, A. T., Wagner, G., Kalvelage, J., & Oettingen, G. (2014). Positive thinking about the future in newspaper reports and presidential addresses predicts economic downturn. Psychological science, 0956797613518350.","Original Research (i.e., any study with data that is NOT a meta-analysis)",3,1,21,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Multiple Regression (F is reported instead of t)," β = −0.55, F(1, 19) =  8.32,  p  =  .01",,19,8.31,Yes,0.01,,No,2,1,2,0,NA,2,No,0,Very Easy,N is inaugural addresses
504,504,159,1,7/17/2015 11:38,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,1,41,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,Chi Square (X),"Chi sq (1) = 26.56, p < .001",,1,26.56,No,,,No,5,4,7,0,,0,No,0,Very Easy,
507,507,159,1,7/17/2015 11:51,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,2,622,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,2,Logisitic Regression," B = 0.67, odds ratio (OR) = 1.96, Wald Chi sq = 50.82, p < .001",,,50.82,No,,,No,10,3,7,0,,0,No,0,Moderately Easy,
509,509,159,1,7/17/2015 12:13,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,3,85,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,1,1,2,Logistic Regressiom,"B = 1.89, Odds Ratio = 6.61, Wald # 2 ! 4.59, p = .032",,,4.59,Yes,0.032,,No,16,11,7,0,,0,No,0,Moderately Easy,
511,511,159,1,7/17/2015 12:27,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,4,293,0,"Correlational (i.e., IVs were measured and not manipulated)",Between,1,1,6,Multiple Regression (t -- for individual predictor)," B = 0.60, t(121) = 3.87, p < .001",,121,3.87,No,,,No,30,22,7,0,,2,No,0,Moderately Easy,The primary analysis only included a subset of the total N
512,512,159,1,7/17/2015 13:08,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,5,607,171,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,1,Logistic Regressiom," B = 0.78, Odds Ratio = 2.18, Wald Chi sq = 27.65, p < .001",,,11.76,No,,,No,5,4,7,0,,1,No,0,Moderately Easy,
513,513,159,1,7/17/2015 13:15,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,6,572,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,1,Logistic Regressiom," B = 0.29, Odds Ratio = 1.33, Wald Chi sq = 10.17, p = .001",,,10.17,Yes,0.001,,No,9,5,7,0,,0,No,0,Moderately Easy,
514,514,159,1,7/17/2015 13:43,Coder9,JPSP,2014,Interpersonal Relations and Group Processes,Swann,"University of Texas, Austin",Social / Personality,"Swann Jr, W. B., Gómez, Á., Buhrmester, M. D., López-Rodríguez, L., Jiménez, J., & Vázquez, A. (2014). Contemplating the ultimate sacrifice: Identity fusion channels pro-group affect, cognition, and moral decision making. Journal of Personality and Social Psychology, 106(5), 713.","Original Research (i.e., any study with data that is NOT a meta-analysis)",13,7,1368,0,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,3,1,Logistic Regressiom,"B = 0.25, Odd Ratio = 1.76, Wald Chi sq = 14.43, p < .002",,,14.43,No,,,No,5,4,7,0,,0,No,0,Moderately Easy,
17,17,10,1,6/10/2015 12:18,Coder9,Psych Science,2014,,Tam,University of Wollongong,Marketing,"Tam, L., & Dholakia, U. (2013). Saving in Cycles How to Get People to Save More Money. Psychological science, 0956797613512129.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,1,157,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,ANOVA (F),"F(1, 155) =  3.53, p = .06, d = 0.31",1,155,3.53,Yes,0.06,,,2,1,3,1,Cohen's d = 0.31,0,No,0,Very Easy,
19,19,10,1,6/10/2015 12:28,Coder9,Psych Science,2014,,Tam,University of Wollongong,Marketing,"Tam, L., & Dholakia, U. (2013). Saving in Cycles How to Get People to Save More Money. Psychological science, 0956797613512129.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,2,145,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,ANOVA (F),"F(1, 137) =  5.17, p < .05, d = 0.44",1,137,5.17,No,,,,9,5,3,1,Cohen's d = 0.44,0,No,5,Very Easy,
20,20,10,1,6/10/2015 12:41,Coder9,Psych Science,2014,,Tam,University of Wollongong,Marketing,"Tam, L., & Dholakia, U. (2013). Saving in Cycles How to Get People to Save More Money. Psychological science, 0956797613512129.","Original Research (i.e., any study with data that is NOT a meta-analysis)",2,3,162,0,"Experimental (i.e., all IVs were manipulated)",Mixed,2,2,3,ANOVA (F),"F(1, 315) = 10.37, p < .01",1,315,10.37,No,,,,15,14,3,0,,1,No,5,Moderately Easy,
221,221,86,1,6/22/2015 12:52,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,1,44,4,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,t-test (t),"t(38) = 2.27, p < .03, d = 0.74",,38,2.27,No,,,No,4,4,6,1,Cohen's d = 0.74,1,No,0,Moderately Easy,
223,223,86,1,6/22/2015 13:04,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,2A,94,10,"Experimental (i.e., all IVs were manipulated)",Between,2,1,1,t-test (t)," t(81) = 2.27, p = .03, d = 0.50",,81,2.27,Yes,0.03,,No,5,1,6,1,Cohen's d = 0.50,0,No,0,Moderately Easy,"The primary analysis was a planned contrast comparing one condition to two other conditions. Therefore while technically it was comparing two things (mean of condition 1 to the mean of condition 2 &3) there were actually three conditions in the comp. Accordingly the N is not equal across the two means the test compared.

Authors referred to ""significant"" findings that were p > .05"
224,224,86,1,6/22/2015 13:14,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,2B,100,9,"Experimental (i.e., all IVs were manipulated)",Mixed,3,2,2,ANOVA (F),"F(2, 88) = 3.23, p = .04, partial eta sq = .07.",2,88,3.23,Yes,0.04,,No,15,6,6,1,partial eta-squared = .07,1,No,0,Moderately Easy,
226,226,86,1,6/22/2015 13:23,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,3,60,2,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,2,2,1,Multiple Regression (t -- for individual predictor),"Standardized Beta = - .36, t = 2.54, p = .01",,,2.54,Yes,0.01,,No,4,3,6,0,,0,No,0,Moderately Easy,"The authors do not include the df of their primary analysis, given their N and design I think it is 56. 

Some lower order effects were not reported"
229,229,86,1,6/22/2015 13:29,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,4,85,4,"Experimental (i.e., all IVs were manipulated)",Between,4,2,1,ANOVA (F),"F(1, 77) = 4.30, p = .04, partial eta sq = 05",1,77,4.3,Yes,0.04,,No,3,2,6,1,partial eta-squared = .05,0,No,0,Very Easy,Didn't report lower order effects
230,230,86,1,6/22/2015 13:40,Coder9,JPSP,2013,Attitudes and Social Cognition,Todd,University of Iowa,Social / Personality,"Todd, A. R., & Burgmer, P. (2013). Perspective taking and automatic intergroup evaluation change: Testing an associative self-anchoring account. Journal of personality and social psychology, 104(5), 786.","Original Research (i.e., any study with data that is NOT a meta-analysis)",7,5,72,12,"Experimental (i.e., all IVs were manipulated)",Mixed,2,3,1,ANOVA (F),"F(2, 115) = 1.03, p = .36, partial eta sq = .02.",2,115,1.03,Yes,0.36,,Yes,10,4,6,1,partial eta-squared = .02,0,No,0,Moderately Easy,Lower order effects were not reported. Also they followed up a ns interaction (the primary analysis reported here). 
1800,1800,616,1,8/19/2015 8:28,Coder9,Psych Science,2013,,Vachon,Purdue University,Clinical,"Vachon, D. D., Lynam, D. R., Widiger, T. A., Miller, J. D., McCrae, R. R., & Costa, P. T. (2013). Basic Traits Predict the Prevalence of Personality Disorder Across the Life Span The Example of Psychopathy. Psychological science, 24(5), 698-705.","Original Research (i.e., any study with data that is NOT a meta-analysis)",14,1,1152,0,"Correlational (i.e., IVs were measured and not manipulated)",,1,1,21,Multiple Regression (t -- for individual predictor)," β  =  −0.074,   SE = 0.023, t(1) = −3.24, p = .001",,1,-3.24,Yes,0.001,,No,24,17,1,0,NA,0,No,0,Neither Difficult nor Easy,
1805,1805,679,1,8/19/2015 9:10,Coder9,PSPB,2003,,van Beest,Leiden University and University of Amsterdam,Social / Personality,"van Beest, I., Wilke, H., & van Dijk, E. (2003). The excluded player in coalition formation. Personality and Social Psychology Bulletin, 29(2), 237-247.","Original Research (i.e., any study with data that is NOT a meta-analysis)",43,1,90,0,"Experimental (i.e., all IVs were manipulated)",Between,2,1,2,Logistic Regression,"B = –.84, Wald’s χ 2 (1, N = 90) = 4.43, p < .05.",1,99!!,4.43,No,,,No,2,2,2,0,NA,0,No,0,Very Easy,
1806,1806,679,1,8/19/2015 9:17,Coder9,PSPB,2003,,van Beest,Leiden University and University of Amsterdam,Social / Personality,"van Beest, I., Wilke, H., & van Dijk, E. (2003). The excluded player in coalition formation. Personality and Social Psychology Bulletin, 29(2), 237-247.","Original Research (i.e., any study with data that is NOT a meta-analysis)",43,2,216,19,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,4,2,4,Logistic Regression,"B = .517, Wald’s χ 2 (1, N = 197) = 4.12, p < .05",1,99!!,4.12,No,,,No,17,5,2,0,NA,1,No,0,Moderately Easy,
1762,1762,429,1,8/16/2015 12:59,Coder9,JESP,2013,,van den Bos,Utrecht University,Social / Personality,"Van den Bos, K., Brockner, J., van den Oudenalder, M., Kamble, S. V., & Nasabi, A. (2013). Delineating a method to study cross-cultural differences with experimental control: The voice effect and countercultural contexts regarding power distance. Journal of Experimental Social Psychology, 49(4), 624-634.","Original Research (i.e., any study with data that is NOT a meta-analysis)",5,1,250,3,"Quasi-experimental (i.e., at least 1 IV is manipulated and at least 1 IV is measured)",Between,6,3,1,ANOVA (F),"F(1, 242)=9.95, p<.01, η p 2 =.04",1,242,9.95,No,,,No,21,15,1,1,partial eta-squared = .04,3,No,0,Moderately Easy,
